rental_id,rental_date,inventory_id,customer_id,return_date,day_id,month_id,year_id
1,2022-05-25 00:54:33+03:00,1525,459,2022-05-28 21:40:33+03,1,1,1
2,2022-05-25 01:03:39+03:00,1711,408,2022-06-02 00:12:39+03,1,1,1
3,2022-05-25 01:04:41+03:00,2452,333,2022-06-03 03:43:41+03,1,1,1
4,2022-05-25 01:05:21+03:00,2079,222,2022-06-02 06:33:21+03,1,1,1
5,2022-05-25 01:08:07+03:00,2792,549,2022-05-27 03:32:07+03,1,1,1
6,2022-05-25 01:11:53+03:00,3995,269,2022-05-29 22:34:53+03,1,1,1
7,2022-05-25 01:31:46+03:00,2346,239,2022-05-28 01:33:46+03,1,1,1
8,2022-05-25 02:00:40+03:00,2580,126,2022-05-28 02:22:40+03,1,1,1
9,2022-05-25 02:02:21+03:00,1824,399,2022-06-01 00:44:21+03,1,1,1
10,2022-05-25 02:09:02+03:00,4443,142,2022-06-02 22:56:02+03,1,1,1
11,2022-05-25 02:19:27+03:00,1584,261,2022-05-30 07:44:27+03,1,1,1
12,2022-05-25 02:22:55+03:00,2294,334,2022-05-30 06:28:55+03,1,1,1
13,2022-05-25 02:31:15+03:00,2701,446,2022-05-26 04:56:15+03,1,1,1
14,2022-05-25 02:39:22+03:00,3049,319,2022-06-03 05:30:22+03,1,1,1
15,2022-05-25 02:43:11+03:00,389,316,2022-05-26 06:42:11+03,1,1,1
16,2022-05-25 03:06:36+03:00,830,575,2022-05-27 02:43:36+03,1,1,1
17,2022-05-25 03:10:47+03:00,3376,19,2022-05-31 08:35:47+03,1,1,1
18,2022-05-25 03:17:24+03:00,1941,456,2022-05-31 08:00:24+03,1,1,1
19,2022-05-25 03:48:41+03:00,3517,185,2022-05-27 04:20:41+03,1,1,1
20,2022-05-25 03:59:46+03:00,146,388,2022-05-26 03:01:46+03,1,1,1
21,2022-05-25 04:19:23+03:00,727,509,2022-05-26 06:52:23+03,1,1,1
22,2022-05-25 04:40:21+03:00,4441,438,2022-05-29 08:34:21+03,1,1,1
23,2022-05-25 04:53:02+03:00,3273,350,2022-05-27 03:15:02+03,1,1,1
24,2022-05-25 05:21:20+03:00,3961,37,2022-05-27 23:25:20+03,1,1,1
25,2022-05-25 05:36:50+03:00,4371,371,2022-05-31 02:34:50+03,1,1,1
26,2022-05-25 05:41:50+03:00,1225,301,2022-05-30 03:13:50+03,1,1,1
27,2022-05-25 05:42:37+03:00,4068,232,2022-05-26 11:26:37+03,1,1,1
28,2022-05-25 05:47:12+03:00,611,44,2022-05-30 02:31:12+03,1,1,1
29,2022-05-25 06:01:32+03:00,3744,430,2022-05-30 05:12:32+03,1,1,1
30,2022-05-25 06:05:17+03:00,4482,369,2022-05-30 09:15:17+03,1,1,1
31,2022-05-25 06:06:21+03:00,3832,230,2022-05-26 01:55:21+03,1,1,1
32,2022-05-25 06:18:51+03:00,1681,272,2022-05-27 05:58:51+03,1,1,1
33,2022-05-25 06:19:28+03:00,2613,597,2022-05-29 02:10:28+03,1,1,1
34,2022-05-25 06:24:36+03:00,1286,484,2022-05-27 09:02:36+03,1,1,1
35,2022-05-25 06:36:26+03:00,1308,88,2022-05-29 02:31:26+03,1,1,1
36,2022-05-25 06:44:31+03:00,403,535,2022-05-29 03:03:31+03,1,1,1
37,2022-05-25 06:47:44+03:00,2540,302,2022-06-01 02:58:44+03,1,1,1
38,2022-05-25 06:51:46+03:00,4466,207,2022-05-31 05:14:46+03,1,1,1
39,2022-05-25 07:09:04+03:00,2638,413,2022-05-28 01:12:04+03,1,1,1
40,2022-05-25 07:12:29+03:00,1761,174,2022-06-02 02:28:29+03,1,1,1
41,2022-05-25 07:24:58+03:00,380,523,2022-05-31 04:47:58+03,1,1,1
42,2022-05-25 07:39:25+03:00,2578,532,2022-05-26 08:54:25+03,1,1,1
43,2022-05-25 07:53:23+03:00,3098,207,2022-05-29 12:56:23+03,1,1,1
44,2022-05-25 07:59:39+03:00,1853,436,2022-06-02 11:56:39+03,1,1,1
45,2022-05-25 08:04:08+03:00,3318,7,2022-06-02 10:18:08+03,1,1,1
46,2022-05-25 08:05:20+03:00,2211,35,2022-05-30 05:04:20+03,1,1,1
47,2022-05-25 08:20:46+03:00,1780,282,2022-06-02 07:42:46+03,1,1,1
48,2022-05-25 08:39:35+03:00,2965,498,2022-05-30 12:12:35+03,1,1,1
49,2022-05-25 08:44:53+03:00,1983,18,2022-05-28 13:28:53+03,1,1,1
50,2022-05-25 08:49:10+03:00,1257,256,2022-05-26 08:42:10+03,1,1,1
51,2022-05-25 08:51:29+03:00,4017,507,2022-05-31 03:27:29+03,1,1,1
52,2022-05-25 09:19:16+03:00,1255,569,2022-05-27 07:19:16+03,1,1,1
53,2022-05-25 09:23:25+03:00,2787,291,2022-06-01 07:05:25+03,1,1,1
54,2022-05-25 10:26:13+03:00,1139,131,2022-05-30 12:57:13+03,1,1,1
55,2022-05-25 10:28:11+03:00,1352,511,2022-05-26 16:21:11+03,1,1,1
56,2022-05-25 10:43:32+03:00,3938,6,2022-05-29 08:42:32+03,1,1,1
57,2022-05-25 10:53:14+03:00,3050,323,2022-05-28 16:40:14+03,1,1,1
58,2022-05-25 10:56:42+03:00,2884,408,2022-06-01 11:52:42+03,1,1,1
59,2022-05-25 10:58:25+03:00,330,470,2022-05-30 16:14:25+03,1,1,1
60,2022-05-25 11:01:57+03:00,4210,250,2022-06-02 09:22:57+03,1,1,1
61,2022-05-25 11:18:52+03:00,261,419,2022-05-30 12:55:52+03,1,1,1
62,2022-05-25 11:19:16+03:00,4008,383,2022-05-27 06:24:16+03,1,1,1
63,2022-05-25 11:21:29+03:00,79,368,2022-06-03 13:31:29+03,1,1,1
64,2022-05-25 11:32:03+03:00,3552,346,2022-05-29 16:21:03+03,1,1,1
65,2022-05-25 11:35:12+03:00,1162,86,2022-05-29 06:16:12+03,1,1,1
66,2022-05-25 11:41:01+03:00,239,119,2022-05-27 15:46:01+03,1,1,1
67,2022-05-25 11:47:31+03:00,4029,120,2022-05-31 12:20:31+03,1,1,1
68,2022-05-25 12:10:14+03:00,3207,305,2022-05-27 16:02:14+03,1,1,1
69,2022-05-25 12:15:23+03:00,2168,73,2022-05-27 07:56:23+03,1,1,1
70,2022-05-25 12:26:39+03:00,2408,100,2022-05-28 06:59:39+03,1,1,1
71,2022-05-25 12:52:13+03:00,2260,48,2022-05-28 07:52:13+03,1,1,1
72,2022-05-25 13:00:07+03:00,517,391,2022-06-01 15:56:07+03,1,1,1
73,2022-05-25 13:09:48+03:00,1744,265,2022-05-26 14:23:48+03,1,1,1
74,2022-05-25 13:13:34+03:00,3393,510,2022-06-03 14:58:34+03,1,1,1
75,2022-05-25 13:30:37+03:00,3021,1,2022-06-03 14:00:37+03,1,1,1
76,2022-05-25 13:31:59+03:00,1303,451,2022-05-26 18:53:59+03,1,1,1
